id_candidato,edad,genero,nivel_educativo,titulo,experiencia_anios,habilidades,idiomas,puesto_deseado,localidad,disponibilidad_horaria,trabajo_actual,sector_experiencia,ultima_actualizacion,pretension_salarial
1,56,Otro,Universitario,Diseno Grafico,16,Atencion al cliente,Ingles - Intermedio,Docente,mendoza,Part-Time,No,Tecnologia,2025-03-02,620376
2,46,Femenino,Universitario,Arquitectura,21,Diseno UX/UI,Sin idiomas,Enfermero/a,rosario,Part-Time,No,Contabilidad,2024-05-13,673553
3,32,Otro,Terciario,Ingenieria,22,Comunicacion,Ingles - Intermedio,Analista de datos,neuquen,Remoto,No,Tecnologia,2024-09-13,673579
4,25,Masculino,Universitario,Arquitectura,13,Atencion al cliente,Frances - Basico,Analista de datos,neuquen,Remoto,Si,Legal,2025-02-28,552664
5,38,Otro,Universitario,Medicina,23,Redaccion,Portugues - Intermedio,Recepcionista,mendoza,Part-Time,Si,Educacion,2025-04-15,690009
6,56,Otro,Universitario,Contador Publico,6,Ingles,Ingles - Intermedio,Abogado/a,salta,Part-Time,No,Tecnologia,2024-12-22,473820
7,36,Otro,Secundario,Contador Publico,21,Python,Portugues - Basico,Docente,neuquen,Remoto,Si,Legal,2024-09-13,596678
8,40,Masculino,Posgrado,Diseno Grafico,24,Diseno UX/UI,Sin idiomas,Tecnico en sistemas,mendoza,Full-Time,No,Contabilidad,2025-02-14,723200
9,28,Femenino,Universitario,Medicina,2,Project Management,Ingles - Intermedio,Contador/a,neuquen,Part-Time,No,Diseno,2024-11-22,392411
10,28,Masculino,Terciario,Administracion,5,Project Management,Sin idiomas,Abogado/a,tucuman,Remoto,Si,Comercio,2024-10-04,355364
11,41,Femenino,Terciario,Administracion,19,Ingles,Portugues - Intermedio,Tecnico en sistemas,neuquen,Remoto,Si,Tecnologia,2025-03-29,697897
12,53,Femenino,Secundario,Administracion,1,SQL,Portugues - Basico,Tecnico en sistemas,cordoba,Part-Time,No,Legal,2024-06-17,315856
13,57,Otro,Secundario,Ingenieria,16,Atencion al cliente,Sin idiomas,Vendedor,mendoza,Full-Time,No,Educacion,2024-06-08,544259
14,41,Femenino,Universitario,Ingenieria,11,Atencion al cliente,Ingles - Intermedio,Recepcionista,san juan,Remoto,No,Comercio,2025-02-16,542706
15,20,Masculino,Secundario,Administracion,11,Project Management,Portugues - Basico,Disenador grafico,rosario,Part-Time,Si,Tecnologia,2025-02-15,492448
16,39,Masculino,Terciario,Contador Publico,16,Atencion al cliente,Ingles - Avanzado,Asistente administrativo,mendoza,Remoto,Si,Educacion,2024-09-06,561142
17,19,Femenino,Universitario,Medicina,9,Ingles,Ingles - Avanzado,Asistente administrativo,salta,Remoto,No,Diseno,2024-06-12,478903
18,41,Otro,Secundario,Marketing,2,Atencion al cliente,Frances - Basico,Recepcionista,neuquen,Remoto,No,Comercio,2025-01-09,284876
19,47,Otro,Posgrado,Medicina,19,SQL,Ingles - Avanzado,Recepcionista,mendoza,Remoto,Si,Salud,2025-04-06,628307
20,55,Masculino,Terciario,Administracion,17,Python,Ingles - Intermedio,Tecnico en sistemas,tucuman,Full-Time,No,Educacion,2024-09-19,590516
21,19,Otro,Terciario,Medicina,12,Redaccion,Portugues - Intermedio,Recepcionista,mendoza,Part-Time,Si,Salud,2024-07-07,513316
22,38,Femenino,Terciario,Psicologia,11,Python,Portugues - Basico,Tecnico en sistemas,tucuman,Part-Time,Si,Contabilidad,2024-10-16,521634
23,50,Femenino,Terciario,Ingenieria,16,Redaccion,Sin idiomas,Abogado/a,neuquen,Part-Time,No,Tecnologia,2024-10-01,556385
24,29,Masculino,Secundario,Ingenieria,3,Comunicacion,Ingles - Basico,Disenador grafico,rosario,Part-Time,No,Diseno,2024-05-24,303382
25,39,Femenino,Universitario,Contador Publico,22,Python,Ingles - Avanzado,Vendedor,neuquen,Part-Time,Si,Legal,2024-10-09,701701
26,42,Masculino,Posgrado,Marketing,9,Ingles,Ingles - Avanzado,Tecnico en sistemas,salta,Full-Time,No,Tecnologia,2025-03-14,538082
